OBJECTID,src_SA2_MAIN16,nbr_SA2_MAIN16,src_SA2_5DIG16,nbr_SA2_5DIG16,src_SA2_NAME16,nbr_SA2_NAME16,LENGTH,NODE_COUNT
47,101041018,101041024,11018,11024,Batemans Bay - South,Eurobodalla Hinterland,12.421571818072936,0
48,101041019,101041020,11019,11020,Bega - Tathra,Bega-Eden Hinterland,68.055016598121000,0
49,101041019,101041025,11019,11025,Bega - Tathra,Merimbula - Tura Beach,3.844851939441689,0
50,101041020,101041022,11020,11022,Bega-Eden Hinterland,Deua - Wadbilliga,267.949578906326170,0
51,101041020,101041023,11020,11023,Bega-Eden Hinterland,Eden,37.101674542210993,0
52,101041020,101041025,11020,11025,Bega-Eden Hinterland,Merimbula - Tura Beach,53.898019812791254,0
53,101041020,101041027,11020,11027,Bega-Eden Hinterland,Narooma - Bermagui,59.591508683918271,0
54,101041020,205021085,11020,21085,Bega-Eden Hinterland,Orbost,74.025396115446782,0
55,101041021,101041024,11021,11024,Broulee - Tomakin,Eurobodalla Hinterland,19.078482240443552,0
56,101041021,101041026,11021,11026,Broulee - Tomakin,Moruya - Tuross Head,6.094938401545667,0
57,101041022,101041024,11022,11024,Deua - Wadbilliga,Eurobodalla Hinterland,171.368840379752670,0
58,101041022,101041027,11022,11027,Deua - Wadbilliga,Narooma - Bermagui,27.075426773927045,0
59,101041023,101041025,11023,11025,Eden,Merimbula - Tura Beach,11.852549365588482,0
60,101041024,101041026,11024,11026,Eurobodalla Hinterland,Moruya - Tuross Head,58.726961269000149,0
61,101041024,101041027,11024,11027,Eurobodalla Hinterland,Narooma - Bermagui,20.180715371558613,0
62,101041024,114011275,11024,11275,Eurobodalla Hinterland,Ettrema - Sassafras - Budawang,28.509603872358163,0
63,101041024,114011283,11024,11283,Eurobodalla Hinterland,Ulladulla Region,51.749628578299323,0
64,101051539,101051540,11539,11540,Goulburn,Goulburn Region,49.141665988518284,0
65,101051540,101061542,11540,11542,Goulburn Region,Yass Region,133.140614001502000,0
66,101051540,101061544,11540,11544,Goulburn Region,Young Region,106.387750238949290,0
67,101051540,103011060,11540,11060,Goulburn Region,Bathurst Region,55.861997760337893,0
68,101051540,103011061,11540,11061,Goulburn Region,Oberon,148.981931757656640,0
69,101051540,103021064,11540,11064,Goulburn Region,Cowra Region,20.408053188033325,0
70,101051540,114011275,11540,11275,Goulburn Region,Ettrema - Sassafras - Budawang,82.916896888929941,0
71,101051540,114021288,11540,11288,Goulburn Region,Robertson - Fitzroy Falls,7.158834534312511,0
72,101051540,114021289,11540,11289,Goulburn Region,Southern Highlands,117.530454853062570,0
73,101051540,124021456,11540,11456,Goulburn Region,Blue Mountains - South,39.540001998805927,0
74,101061541,101061542,11541,11542,Yass,Yass Region,61.661373616938157,0
75,101061542,101061544,11542,11544,Yass Region,Young Region,192.395916013707560,0
76,101061542,113021262,11542,11262,Yass Region,Tumut Region,74.244964561122842,0
77,101061542,113031263,11542,11263,Yass Region,Cootamundra,6.147582763032421,0
78,101061542,113031264,11542,11264,Yass Region,Gundagai,91.642673429631515,0
79,101061542,801011006,11542,81006,Yass Region,Dunlop,1.393326824210839,0
80,101061542,801011012,11542,81012,Yass Region,Gooromon,3.652744636455842,0
81,101061542,801011112,11542,81112,Yass Region,West Belconnen,5.853539706272097,0
82,101061542,801041043,11542,81043,Yass Region,Hall,2.093234920045587,0
83,101061542,801041116,11542,81116,Yass Region,Gungahlin - East,11.393879839763949,0
84,101061542,801041117,11542,81117,Yass Region,Gungahlin - West,17.093063141161725,0
85,101061542,801111140,11542,81140,Yass Region,ACT - South West,19.566971127307646,0
86,101061542,801111141,11542,81141,Yass Region,Namadgi,7.077443457008890,0
87,101061543,101061544,11543,11544,Young,Young Region,163.491185810476620,0
88,101061544,103021064,11544,11064,Young Region,Cowra Region,107.374389520190120,0
89,101061544,103021066,11544,11066,Young Region,Grenfell,127.975038322388870,0
90,101061544,103021069,11544,11069,Young Region,West Wyalong,8.189332855281231,0
91,101061544,113031263,11544,11263,Young Region,Cootamundra,128.686508926033130,0
92,101061544,113031266,11544,11266,Young Region,Temora,42.951206906677108,0
93,102011028,102011029,11028,11029,Avoca Beach - Copacabana,Box Head - MacMasters Beach,1.287585981050720,0
94,102011028,102011034,11028,11034,Avoca Beach - Copacabana,Kincumber - Picketts Valley,5.676465483151166,0
95,102011028,102011039,11028,11039,Avoca Beach - Copacabana,Terrigal - North Avoca,7.113889947924324,0
96,102011029,102011034,11029,11034,Box Head - MacMasters Beach,Kincumber - Picketts Valley,6.825570724139810,0
97,102011029,102011040,11029,11040,Box Head - MacMasters Beach,Umina - Booker Bay - Patonga,0.010019312251604,0
98,102011029,102011042,11029,11042,Box Head - MacMasters Beach,Woy Woy - Blackwall,0.029678047693658,0
99,102011030,102011032,11030,11032,Calga - Kulnura,Gosford - Springfield,2.218230892730790,0
100,102011030,102011033,11030,11033,Calga - Kulnura,Kariong,10.371444756057775,0
101,102011030,102011035,11030,11035,Calga - Kulnura,Narara,7.706385663188236,0
102,102011030,102011036,11030,11036,Calga - Kulnura,Niagara Park - Lisarow,2.487903004252694,0
103,102011030,102011040,11030,11040,Calga - Kulnura,Umina - Booker Bay - Patonga,8.528258595726440,0
104,102011030,102011042,11030,11042,Calga - Kulnura,Woy Woy - Blackwall,10.190388367025109,0
105,102011030,102021049,11030,11049,Calga - Kulnura,Jilliby - Yarramalong,30.995765978956840,0
106,102011030,102021051,11030,11051,Calga - Kulnura,Ourimbah - Fountaindale,33.929114116828508,0
107,102011030,106011109,11030,11109,Calga - Kulnura,Cessnock Region,9.469160453295944,0
108,102011030,115021297,11030,11297,Calga - Kulnura,Dural - Kenthurst - Wisemans Ferry,6.575697855797715,0
109,102011030,115021298,11030,11298,Calga - Kulnura,Galston - Laughtondale,11.605475561769886,0
110,102011030,115031299,11030,11299,Calga - Kulnura,Bilpin - Colo - St Albans,49.855552502450479,0
111,102011031,102011032,11031,11032,Erina - Green Point,Gosford - Springfield,7.084619586293582,0
112,102011031,102011034,11031,11034,Erina - Green Point,Kincumber - Picketts Valley,5.845612917826238,0
113,102011031,102011036,11031,11036,Erina - Green Point,Niagara Park - Lisarow,4.791424942284568,0
114,102011031,102011038,11031,11038,Erina - Green Point,Saratoga - Davistown,1.638068171854655,0
115,102011031,102011039,11031,11039,Erina - Green Point,Terrigal - North Avoca,4.374701007093207,0
116,102011031,102011041,11031,11041,Erina - Green Point,Wamberal - Forresters Beach,8.070427139849519,0
117,102011031,102011043,11031,11043,Erina - Green Point,Wyoming,1.684943208948432,0
118,102011031,102021047,11031,11047,Erina - Green Point,Chittaway Bay - Tumbi Umbi,4.023885207839475,0
119,102011032,102011033,11032,11033,Gosford - Springfield,Kariong,0.809935856543858,0
120,102011032,102011035,11032,11035,Gosford - Springfield,Narara,3.870715063909680,0
121,102011032,102011037,11032,11037,Gosford - Springfield,Point Clare - Koolewong,1.497622254038260,0
122,102011032,102011043,11032,11043,Gosford - Springfield,Wyoming,4.444593364773271,0
123,102011033,102011037,11033,11037,Kariong,Point Clare - Koolewong,4.470691402704245,0
124,102011033,102011042,11033,11042,Kariong,Woy Woy - Blackwall,1.967982535766514,0
125,102011034,102011038,11034,11038,Kincumber - Picketts Valley,Saratoga - Davistown,0.769633633144288,0
126,102011034,102011039,11034,11039,Kincumber - Picketts Valley,Terrigal - North Avoca,3.287765013033333,0
127,102011035,102011036,11035,11036,Narara,Niagara Park - Lisarow,2.608665775927308,0
128,102011035,102011043,11035,11043,Narara,Wyoming,2.937965712732183,0
129,102011036,102011043,11036,11043,Niagara Park - Lisarow,Wyoming,6.778636091906423,0
130,102011036,102021047,11036,11047,Niagara Park - Lisarow,Chittaway Bay - Tumbi Umbi,1.907815657081107,0
131,102011036,102021051,11036,11051,Niagara Park - Lisarow,Ourimbah - Fountaindale,7.765542565089331,0
132,102011037,102011042,11037,11042,Point Clare - Koolewong,Woy Woy - Blackwall,3.881097718794410,0
133,102011039,102011041,11039,11041,Terrigal - North Avoca,Wamberal - Forresters Beach,4.635765086338168,0
134,102011040,102011042,11040,11042,Umina - Booker Bay - Patonga,Woy Woy - Blackwall,8.753388842919989,0
135,102011041,102021044,11041,11044,Wamberal - Forresters Beach,Bateau Bay - Killarney Vale,7.243418321096875,0
136,102011041,102021047,11041,11047,Wamberal - Forresters Beach,Chittaway Bay - Tumbi Umbi,2.426956793141499,0
137,102021044,102021047,11044,11047,Bateau Bay - Killarney Vale,Chittaway Bay - Tumbi Umbi,2.753299729598880,0
138,102021044,102021053,11044,11053,Bateau Bay - Killarney Vale,The Entrance,2.705151111076700,0
139,102021045,102021046,11045,11046,Blue Haven - San Remo,Budgewoi - Buff Point - Halekulani,7.043544681326588,0
140,102021045,102021048,11045,11048,Blue Haven - San Remo,Gorokan - Kanwal - Charmhaven,0.709721929048959,0
141,102021045,102021049,11045,11049,Blue Haven - San Remo,Jilliby - Yarramalong,2.358563378352931,0
142,102021045,102021050,11045,11050,Blue Haven - San Remo,Lake Munmorah - Mannering Park,5.702466370778523,0
143,102021045,102021056,11045,11056,Blue Haven - San Remo,Warnervale - Wadalba,4.364173406304586,0
144,102021045,111021218,11045,11218,Blue Haven - San Remo,Morisset - Cooranbong,5.608117858914220,0
145,102021046,102021050,11046,11050,Budgewoi - Buff Point - Halekulani,Lake Munmorah - Mannering Park,1.932548076365005,0
146,102021046,102021054,11046,11054,Budgewoi - Buff Point - Halekulani,Toukley - Norah Head,1.328152331852444,0
147,102021047,102021051,11047,11051,Chittaway Bay - Tumbi Umbi,Ourimbah - Fountaindale,9.939471280064524,0
148,102021047,102021055,11047,11055,Chittaway Bay - Tumbi Umbi,Tuggerah - Kangy Angy,7.571396721392710,0
149,102021048,102021056,11048,11056,Gorokan - Kanwal - Charmhaven,Warnervale - Wadalba,10.866207904975083,0
150,102021048,102021057,11048,11057,Gorokan - Kanwal - Charmhaven,Wyong,1.956329865141447,0
151,102021049,102021051,11049,11051,Jilliby - Yarramalong,Ourimbah - Fountaindale,23.872134086791402,0
152,102021049,102021055,11049,11055,Jilliby - Yarramalong,Tuggerah - Kangy Angy,6.239583508813951,0
153,102021049,102021056,11049,11056,Jilliby - Yarramalong,Warnervale - Wadalba,11.973696388517382,0
154,102021049,102021057,11049,11057,Jilliby - Yarramalong,Wyong,2.229264762705875,0
155,102021049,106011109,11049,11109,Jilliby - Yarramalong,Cessnock Region,23.467373453490197,0
156,102021049,111021218,11049,11218,Jilliby - Yarramalong,Morisset - Cooranbong,35.312697858463686,0
157,102021050,102021052,11050,11052,Lake Munmorah - Mannering Park,Summerland Point - Gwandalan,2.828010139103939,0
158,102021050,111011212,11050,11212,Lake Munmorah - Mannering Park,Swansea - Caves Beach,5.214001941691664,0
159,102021050,111021218,11050,11218,Lake Munmorah - Mannering Park,Morisset - Cooranbong,3.079834897893665,0
160,102021051,102021055,11051,11055,Ourimbah - Fountaindale,Tuggerah - Kangy Angy,7.274457669660018,0
161,102021053,102021054,11053,11054,The Entrance,Toukley - Norah Head,3.235837871258325,0
162,102021055,102021057,11055,11057,Tuggerah - Kangy Angy,Wyong,10.785789794092127,0
163,102021056,102021057,11056,11057,Warnervale - Wadalba,Wyong,10.903853197370765,0
164,103011058,103011059,11058,11059,Bathurst,Bathurst - East,24.551083309603353,0
165,103011058,103011060,11058,11060,Bathurst,Bathurst Region,57.160541967759123,0
166,103011059,103011060,11059,11060,Bathurst - East,Bathurst Region,34.067961385616471,0
167,103011060,103011061,11060,11061,Bathurst Region,Oberon,137.715329760126170,0
168,103011060,103021064,11060,11064,Bathurst Region,Cowra Region,5.116220810249396,0
169,103011060,103031071,11060,11071,Bathurst Region,Lithgow Region,87.336352475616309,0
170,103011060,103031073,11060,11073,Bathurst Region,Mudgee Region - East,40.718087296253238,0
171,103011060,103031074,11060,11074,Bathurst Region,Mudgee Region - West,64.833442065123350,0
172,103011060,103041076,11060,11076,Bathurst Region,Blayney,106.186662303281380,0
173,103011060,103041079,11060,11079,Bathurst Region,Orange Region,64.592273065179640,0
174,103011061,103031071,11061,11071,Oberon,Lithgow Region,92.896999166603464,0
175,103011061,124011449,11061,11449,Oberon,Blackheath - Megalong Valley,8.479536042241888,0
176,103011061,124021456,11061,11456,Oberon,Blue Mountains - South,72.574979018476085,0
177,103021062,103021065,11062,11065,Condobolin,Forbes,51.492757038510106,0
178,103021062,103021068,11062,11068,Condobolin,Parkes Region,131.108326436821980,0
179,103021062,103021069,11062,11069,Condobolin,West Wyalong,157.558775282059120,0
180,103021062,105011093,11062,11093,Condobolin,Cobar,250.263022492222230,0
181,103021062,105011095,11062,11095,Condobolin,Nyngan - Warren,200.103043986945920,0
182,103021062,105031105,11062,11105,Condobolin,Narromine,91.904176678846227,0
183,103021062,113011257,11062,11257,Condobolin,Griffith Region,60.410771613138010,0
184,103021063,103021064,11063,11064,Cowra,Cowra Region,117.556147300585040,0
185,103021064,103021065,11064,11065,Cowra Region,Forbes,88.756160800432809,0
186,103021064,103021066,11064,11066,Cowra Region,Grenfell,101.175298085421010,0
187,103021064,103041076,11064,11076,Cowra Region,Blayney,89.979002095194076,0
188,103021064,103041079,11064,11079,Cowra Region,Orange Region,88.923347018566503,0
189,103021065,103021066,11065,11066,Forbes,Grenfell,117.062614719590290,0
190,103021065,103021067,11065,11067,Forbes,Parkes (NSW),10.292752358313887,0
191,103021065,103021068,11065,11068,Forbes,Parkes Region,172.814674196748230,0
192,103021065,103021069,11065,11069,Forbes,West Wyalong,29.905959465822800,0
193,103021065,103041079,11065,11079,Forbes,Orange Region,15.525794591885736,0
194,103021066,103021069,11066,11069,Grenfell,West Wyalong,106.053373474498030,0
195,103021067,103021068,11067,11068,Parkes (NSW),Parkes Region,86.365915649704988,0
196,103021068,103041079,11068,11079,Parkes Region,Orange Region,104.009754786104780,0
197,103021068,105031103,11068,11103,Parkes Region,Dubbo Region,5.959410465987888,0
198,103021068,105031105,11068,11105,Parkes Region,Narromine,81.316396090448492,0
199,103021069,113011257,11069,11257,West Wyalong,Griffith Region,98.878622856827008,0
200,103021069,113011259,11069,11259,West Wyalong,Narrandera,59.875006406798057,0
201,103021069,113031266,11069,11266,West Wyalong,Temora,150.459761786450460,0
202,103031070,103031071,11070,11071,Lithgow,Lithgow Region,68.623103615010777,0
203,103031070,103031075,11070,11075,Lithgow,Wollangambe - Wollemi,11.739625720361145,0
204,103031071,103031073,11071,11073,Lithgow Region,Mudgee Region - East,108.935422934310030,0
205,103031071,103031075,11071,11075,Lithgow Region,Wollangambe - Wollemi,257.704602635090680,0
206,103031071,124011449,11071,11449,Lithgow Region,Blackheath - Megalong Valley,66.000534538503075,0
207,103031072,103031074,11072,11074,Mudgee,Mudgee Region - West,72.634912763973389,0
208,103031073,103031074,11073,11074,Mudgee Region - East,Mudgee Region - West,142.797924198141910,0
209,103031073,103031075,11073,11075,Mudgee Region - East,Wollangambe - Wollemi,35.520921003863428,0
210,103031073,106041127,11073,11127,Mudgee Region - East,Muswellbrook Region,84.681909359350939,0
211,103031073,106041129,11073,11129,Mudgee Region - East,Scone Region,64.744781689797165,0
212,103031074,103041079,11074,11079,Mudgee Region - West,Orange Region,18.128297804683790,0
213,103031074,105031099,11074,11099,Mudgee Region - West,Coonabarabran,176.385081828645410,0
214,103031074,105031103,11074,11103,Mudgee Region - West,Dubbo Region,97.520466137844537,0
215,103031074,105031106,11074,11106,Mudgee Region - West,Wellington,220.626890073459290,0
216,103031074,106041129,11074,11129,Mudgee Region - West,Scone Region,122.530450290410460,0
217,103031075,106011113,11075,11113,Wollangambe - Wollemi,Singleton Region,54.269882302640646,0
218,103031075,106041127,11075,11127,Wollangambe - Wollemi,Muswellbrook Region,31.257289058479444,0
219,103031075,115031299,11075,11299,Wollangambe - Wollemi,Bilpin - Colo - St Albans,119.746414130263760,0
220,103031075,124011449,11075,11449,Wollangambe - Wollemi,Blackheath - Megalong Valley,0.647049303889708,0
221,103031075,124011451,11075,11451,Wollangambe - Wollemi,Blue Mountains - North,18.607269850523263,0
222,103041076,103041079,11076,11079,Blayney,Orange Region,86.451405984533750,0
223,103041077,103041078,11077,11078,Orange,Orange - North,13.115724075196434,0
224,103041077,103041079,11077,11079,Orange,Orange Region,31.706622647988333,0
225,103041078,103041079,11078,11079,Orange - North,Orange Region,58.594764056074069,0
226,103041079,105031103,11079,11103,Orange Region,Dubbo Region,37.394571466300832,0
227,103041079,105031106,11079,11106,Orange Region,Wellington,166.627603974407350,0
228,104011080,104011081,11080,11081,Grafton,Grafton Region,70.708713066766151,0
229,104011081,104011082,11081,11082,Grafton Region,Maclean - Yamba - Iluka,78.852216385946420,0
230,104011081,104021086,11081,11086,Grafton Region,Coramba - Nana Glen - Bucca,20.453567944459820,0
231,104011081,104021087,11081,11087,Grafton Region,Dorrigo,147.696556816723810,0
232,104011081,104021091,11081,11091,Grafton Region,Woolgoolga - Arrawarra,58.674967508765469,0
233,104011081,110011187,11081,11187,Grafton Region,Armidale Region - North,54.394395582303602,0
234,104011081,110021190,11081,11190,Grafton Region,Glen Innes,146.113978910283950,0
235,104011081,110021194,11081,11194,Grafton Region,Tenterfield,88.667120504814008,0
236,104011081,112021245,11081,11245,Grafton Region,Casino Region,113.992224576360610,0
237,104011082,112011241,11082,11241,Maclean - Yamba - Iluka,Evans Head,23.033401347464380,0
238,104011082,112021245,11082,11245,Maclean - Yamba - Iluka,Casino Region,17.617151147184984,0
239,104021083,104021086,11083,11086,Bellingen,Coramba - Nana Glen - Bucca,1.931933087992868,0
240,104021083,104021087,11083,11087,Bellingen,Dorrigo,93.526970076447881,0
241,104021083,104021089,11083,11089,Bellingen,Sawtell - Boambee,14.994168442518706,0
242,104021083,104021090,11083,11090,Bellingen,Urunga,34.624480638778316,0
243,104021083,108021156,11083,11156,Bellingen,Kempsey Region,12.634128182788983,0
244,104021083,108021159,11083,11159,Bellingen,Nambucca Heads Region,67.793077976848053,0
245,104021083,110011187,11083,11187,Bellingen,Armidale Region - North,14.064507828704082,0
246,104021084,104021085,11084,11085,Coffs Harbour - North,Coffs Harbour - South,15.014511487357932,0
247,104021084,104021086,11084,11086,Coffs Harbour - North,Coramba - Nana Glen - Bucca,7.413175230235057,0
248,104021084,104021088,11084,11088,Coffs Harbour - North,Korora - Emerald Beach,6.693859588964360,0
249,104021085,104021086,11085,11086,Coffs Harbour - South,Coramba - Nana Glen - Bucca,1.978801735035205,0
250,104021085,104021089,11085,11089,Coffs Harbour - South,Sawtell - Boambee,11.676201872008667,0
251,104021086,104021087,11086,11087,Coramba - Nana Glen - Bucca,Dorrigo,50.279562700575788,0
252,104021086,104021088,11086,11088,Coramba - Nana Glen - Bucca,Korora - Emerald Beach,20.103707258976002,0
253,104021086,104021089,11086,11089,Coramba - Nana Glen - Bucca,Sawtell - Boambee,11.144888355438745,0
254,104021086,104021091,11086,11091,Coramba - Nana Glen - Bucca,Woolgoolga - Arrawarra,14.285533873884440,0
255,104021087,110011187,11087,11187,Dorrigo,Armidale Region - North,44.148051699139813,0
256,104021088,104021091,11088,11091,Korora - Emerald Beach,Woolgoolga - Arrawarra,10.831067651803805,0
257,104021089,104021090,11089,11090,Sawtell - Boambee,Urunga,5.023928487087218,0
258,104021090,108021159,11090,11159,Urunga,Nambucca Heads Region,6.561490555267247,0
259,105011092,105011093,11092,11093,Bourke - Brewarrina,Cobar,309.014583893805820,0
260,105011092,105011095,11092,11095,Bourke - Brewarrina,Nyngan - Warren,230.737632693572410,0
261,105011092,105011096,11092,11096,Bourke - Brewarrina,Walgett - Lightning Ridge,356.876892052473070,0
262,105011092,105021098,11092,11098,Bourke - Brewarrina,Far West,328.276475237864360,0
263,105011092,307011171,11092,31171,Bourke - Brewarrina,Balonne,22.461484905014448,0
264,105011092,315031411,11092,31411,Bourke - Brewarrina,Far South West,283.778776001891740,0
265,105011093,105011095,11093,11095,Cobar,Nyngan - Warren,242.688272301571740,0
266,105011093,105021098,11093,11098,Cobar,Far West,522.403131909073180,0
267,105011093,113011257,11093,11257,Cobar,Griffith Region,208.457201941538070,0
268,105011094,105011095,11094,11095,Coonamble,Nyngan - Warren,224.238647065872530,0
269,105011094,105011096,11094,11096,Coonamble,Walgett - Lightning Ridge,254.327626851722730,0
270,105011094,105031099,11094,11099,Coonamble,Coonabarabran,98.513219907101714,0
271,105011094,105031104,11094,11104,Coonamble,Gilgandra,166.502039411350980,0
272,105011094,105031105,11094,11105,Coonamble,Narromine,19.955687279556457,0
273,105011094,110031198,11094,11198,Coonamble,Narrabri Region,16.259609981563354,0
274,105011095,105011096,11095,11096,Nyngan - Warren,Walgett - Lightning Ridge,67.488812189956789,0
275,105011095,105031105,11095,11105,Nyngan - Warren,Narromine,114.649681525648660,0
276,105011096,110031196,11096,11196,Walgett - Lightning Ridge,Moree Region,236.177501917559790,0
277,105011096,110031198,11096,11198,Walgett - Lightning Ridge,Narrabri Region,124.313184998610470,0
278,105011096,307011171,11096,31171,Walgett - Lightning Ridge,Balonne,201.382269742001090,0
279,105021097,105021098,11097,11098,Broken Hill,Far West,67.852023662212204,0
280,105021098,109021177,11098,11177,Far West,Hay,97.961877790071341,0
281,105021098,109021179,11098,11179,Far West,Wentworth-Balranald Region,602.715120774656160,0
282,105021098,113011257,11098,11257,Far West,Griffith Region,67.042795328053231,0
283,105021098,315031411,11098,31411,Far West,Far South West,377.358101139972580,0
284,105021098,406021141,11098,41141,Far West,Outback,481.473623339330230,0
285,105031099,105031103,11099,11103,Coonabarabran,Dubbo Region,8.021770886468579,0
286,105031099,105031104,11099,11104,Coonabarabran,Gilgandra,170.717007482763050,0
287,105031099,106041129,11099,11129,Coonabarabran,Scone Region,49.941959603950288,0
288,105031099,110031198,11099,11198,Coonabarabran,Narrabri Region,151.997503277836220,0
289,105031099,110041200,11099,11200,Coonabarabran,Gunnedah Region,123.543768253836480,0
290,105031099,110041201,11099,11201,Coonabarabran,Quirindi,93.022865595210604,0
291,105031100,105031101,11100,11101,Dubbo - East,Dubbo - South,11.710685668902768,0
292,105031100,105031102,11100,11102,Dubbo - East,Dubbo - West,8.387486688093919,0
293,105031100,105031103,11100,11103,Dubbo - East,Dubbo Region,44.845728694950402,0
294,105031101,105031102,11101,11102,Dubbo - South,Dubbo - West,9.904460546095072,0
295,105031101,105031103,11101,11103,Dubbo - South,Dubbo Region,6.837801448413562,0
296,105031102,105031103,11102,11103,Dubbo - West,Dubbo Region,40.566156081538558,0
297,105031103,105031104,11103,11104,Dubbo Region,Gilgandra,65.979898839387772,0
298,105031103,105031105,11103,11105,Dubbo Region,Narromine,123.365090982884420,0
299,105031103,105031106,11103,11106,Dubbo Region,Wellington,174.791856712142050,0
300,105031104,105031105,11104,11105,Gilgandra,Narromine,73.676955288173517,0
301,106011107,106011108,11107,11108,Branxton - Greta - Pokolbin,Cessnock,18.940347617514249,0
302,106011107,106011109,11107,11109,Branxton - Greta - Pokolbin,Cessnock Region,23.864782167427720,0
303,106011107,106011111,11107,11111,Branxton - Greta - Pokolbin,Kurri Kurri - Abermain,9.593786310966808,0
304,106011107,106011112,11107,11112,Branxton - Greta - Pokolbin,Singleton,6.835433808329991,0
305,106011107,106011113,11107,11113,Branxton - Greta - Pokolbin,Singleton Region,46.508988138163723,0
306,106011107,106021117,11107,11117,Branxton - Greta - Pokolbin,Maitland - West,24.487687838158436,0
307,106011108,106011109,11108,11109,Cessnock,Cessnock Region,29.951549579267866,0
308,106011108,106011111,11108,11111,Cessnock,Kurri Kurri - Abermain,10.422906766099512,0
309,106011109,106011111,11109,11111,Cessnock Region,Kurri Kurri - Abermain,26.568771414989456,0
310,106011109,106011113,11109,11113,Cessnock Region,Singleton Region,84.976574870414609,0
